. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:51:03.979086400 +0200 | 2019-02/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:30:57.336466600 +0200 | 2019-03/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:52:11.198865800 +0200 | 2019-04/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-17 18:52:53.538602500 +0200 | 2019-05/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-08-12 14:06:45.761373700 +0200 | Camera Roll/ 
. | - | rw-r--r-- | TO45610 | 1049089 | 504| 2022-03-14 14:24:34.119579900 +0100 | desktop.ini 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:58:53.683010500 +0200 | DessinTéléchargé/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:57:19.227470900 +0200 | PhotosTéléchargés/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-08-13 06:44:12.424512700 +0200 | Saved Pictures/ 
. | d | rwxr-xr-x | TO45610 | 1049089 | 0| 2022-07-18 20:57:26.628491600 +0200 | Tableaux/ 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 136712| 2002-09-20 07:50:02.000000000 +0200 | Anerkennung.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 206536| 2002-09-20 07:43:44.000000000 +0200 | BAC.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 678992| 2002-09-19 08:28:16.000000000 +0200 | BAC.pdf 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 160356| 2002-09-20 07:29:24.000000000 +0200 | EingangsPrüfung.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 341326| 2002-09-20 07:34:26.000000000 +0200 | EingangsPrüfung.pdf 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 103267| 2002-09-20 07:39:40.000000000 +0200 | ENSAM.pdf 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 629428| 2002-09-24 11:10:16.000000000 +0200 | Lichtbild.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 212895| 2002-10-21 08:37:40.000000000 +0200 | LichtBild_PrintA4.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 9095| 2002-10-17 11:26:04.000000000 +0200 | LichtbildKlein.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 843155| 2002-09-24 10:33:02.000000000 +0200 | Photo24-09-02.jpg 
./2002-0 | - | rw-r--r-- | TO45610 | 1049089 | 4216| 2009-02-12 20:51:02.000000000 +0100 | PhotoCVMarc.jpg 
./2006-0 | - | rw-r--r-- | TO45610 | 1049089 | 89353| 2006-01-05 13:44:36.000000000 +0100 | Neuschwanstein.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 643725| 2008-08-23 15:34:14.000000000 +0200 | dscf0254-1.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 642523| 2008-08-23 15:34:16.000000000 +0200 | dscf0260-1.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 184365| 2008-09-09 17:37:16.000000000 +0200 | dscf0007.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 157856| 2008-09-09 17:36:40.000000000 +0200 | dscf0019.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 179262| 2008-09-09 17:36:02.000000000 +0200 | dscf0034.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 175973| 2008-09-09 17:35:32.000000000 +0200 | dscf0062.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 168394| 2008-09-09 17:34:32.000000000 +0200 | dscf0083.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 176118| 2008-09-09 17:34:04.000000000 +0200 | dscf0094.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 181551| 2008-09-09 17:33:08.000000000 +0200 | dscf0145.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 165833| 2008-09-09 17:32:50.000000000 +0200 | dscf0150.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 169945| 2008-09-09 17:32:24.000000000 +0200 | dscf0162.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 194435| 2008-09-09 17:32:06.000000000 +0200 | dscf0164.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 178298| 2008-09-09 17:29:28.000000000 +0200 | dscf0179.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 206808| 2008-09-09 17:28:52.000000000 +0200 | dscf0197.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 177809| 2008-09-09 17:28:14.000000000 +0200 | dscf0216-1.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 199715| 2008-09-09 17:27:42.000000000 +0200 | dscf0220-1.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 192295| 2008-09-09 17:40:48.000000000 +0200 | dscf0277-1.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 167996| 2008-09-09 17:40:34.000000000 +0200 | dscf0286-1.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 144556| 2008-09-09 17:40:08.000000000 +0200 | dscf0290-1.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 161041| 2008-09-09 17:39:06.000000000 +0200 | dscf0307-1.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 179242| 2008-09-09 17:38:24.000000000 +0200 | dscf1509.jpg 
./2008-0 | - | rw-r--r-- | TO45610 | 1049089 | 175939| 2008-09-09 17:37:56.000000000 +0200 | dscf1527.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 8120| 2010-08-15 11:56:44.000000000 +0200 | Cam0001.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 7073| 2010-08-15 11:56:30.000000000 +0200 | Cam0004.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 7391| 2010-08-15 11:56:20.000000000 +0200 | Cam0005.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 8232| 2010-08-15 11:56:10.000000000 +0200 | Cam0007.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 7388| 2010-08-15 11:55:38.000000000 +0200 | Cam0008.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 8125| 2010-08-15 11:53:18.000000000 +0200 | Cam0009.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 8650| 2010-08-15 11:47:22.000000000 +0200 | Cam0012.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 8688| 2010-08-15 11:53:04.000000000 +0200 | Cam0013.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 8055| 2010-08-15 11:52:50.000000000 +0200 | Cam0014.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 7229| 2010-08-15 11:52:38.000000000 +0200 | Cam0016.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 6722| 2010-08-15 11:52:22.000000000 +0200 | Cam0017.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 5083| 2010-08-15 11:51:54.000000000 +0200 | Cam0026.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 7742| 2010-08-15 11:50:58.000000000 +0200 | Cam0027.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 9260| 2010-08-15 11:50:16.000000000 +0200 | Cam0030.jpg 
./2010-0 | - | rw-r--r-- | TO45610 | 1049089 | 8302| 2010-08-15 11:45:40.000000000 +0200 | Cam0031.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 500587| 2011-02-03 17:41:20.000000000 +0100 | 03022011002.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 526020| 2011-02-06 17:20:28.000000000 +0100 | 06022011004.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 405396| 2011-02-06 17:25:28.000000000 +0100 | 06022011006.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 522194| 2011-02-06 17:32:34.000000000 +0100 | 06022011007.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 438392| 2011-02-06 17:35:50.000000000 +0100 | 06022011009.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 640721| 2011-02-06 17:38:30.000000000 +0100 | 06022011010.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 492165| 2011-02-24 16:36:54.000000000 +0100 | 24022011016.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 560983| 2011-02-24 16:41:08.000000000 +0100 | 24022011017.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 580026| 2011-02-24 16:50:44.000000000 +0100 | 24022011018.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 623353| 2011-02-24 16:51:26.000000000 +0100 | 24022011019.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 602589| 2011-02-24 17:31:06.000000000 +0100 | 24022011020.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 498543| 2011-02-24 17:33:14.000000000 +0100 | 24022011022.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 605481| 2011-02-24 17:34:18.000000000 +0100 | 24022011023.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 510585| 2011-02-24 17:39:54.000000000 +0100 | 24022011026.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 537098| 2011-02-24 19:30:40.000000000 +0100 | 24022011029.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 459146| 2011-02-24 19:31:50.000000000 +0100 | 24022011030.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 2966| 2011-03-11 15:54:54.000000000 +0100 | 11032011.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 5754116| 2011-03-11 15:48:46.000000000 +0100 | 11032011.mp4 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 2861| 2011-03-11 15:54:56.000000000 +0100 | 11032011001.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 628817| 2011-03-11 15:49:30.000000000 +0100 | 11032011001.mp4 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 2692| 2011-03-11 15:54:58.000000000 +0100 | 11032011002.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 7501215| 2011-03-11 15:50:26.000000000 +0100 | 11032011002.mp4 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 2576| 2011-03-11 15:55:02.000000000 +0100 | 11032011003.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 1798299| 2011-03-11 15:53:34.000000000 +0100 | 11032011003.mp4 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 615446| 2011-03-11 15:40:50.000000000 +0100 | 11032011031.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 423649| 2011-03-11 15:41:46.000000000 +0100 | 11032011032.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 650303| 2011-03-11 15:42:02.000000000 +0100 | 11032011033.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 712529| 2011-03-11 15:44:26.000000000 +0100 | 11032011036.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 464571| 2011-03-11 15:45:28.000000000 +0100 | 11032011037.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 669474| 2011-03-11 15:45:50.000000000 +0100 | 11032011038.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 620403| 2011-08-16 14:14:30.000000000 +0200 | Sauvegarde 001.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 639548| 2011-08-16 14:14:30.000000000 +0200 | Sauvegarde 002.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 619633| 2011-08-16 14:14:30.000000000 +0200 | Sauvegarde 003.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 639596| 2011-08-16 14:14:32.000000000 +0200 | Sauvegarde 004.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 634855| 2011-08-16 14:14:32.000000000 +0200 | Sauvegarde 005.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 622406| 2011-08-16 14:14:32.000000000 +0200 | Sauvegarde 006.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 631259| 2011-08-16 14:14:32.000000000 +0200 | Sauvegarde 007.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 621489| 2011-08-16 14:14:32.000000000 +0200 | Sauvegarde 008.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 628263| 2011-08-16 14:14:32.000000000 +0200 | Sauvegarde 009.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 640420| 2011-08-16 14:14:34.000000000 +0200 | Sauvegarde 010.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 632684| 2011-08-16 14:14:34.000000000 +0200 | Sauvegarde 011.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 614657| 2015-03-29 14:29:13.587269500 +0200 | Sauvegarde 012.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 629641| 2011-08-16 14:14:34.000000000 +0200 | Sauvegarde 013.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 611072| 2011-08-16 14:14:34.000000000 +0200 | Sauvegarde 014.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 648245| 2011-08-16 14:14:34.000000000 +0200 | Sauvegarde 015.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 661596| 2011-08-16 14:14:36.000000000 +0200 | Sauvegarde 016.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 628182| 2011-08-16 14:14:36.000000000 +0200 | Sauvegarde 017.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 646320| 2011-08-16 14:14:36.000000000 +0200 | Sauvegarde 018.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 648276| 2011-08-16 14:14:36.000000000 +0200 | Sauvegarde 019.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 643443| 2011-08-16 14:14:36.000000000 +0200 | Sauvegarde 020.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 641433| 2011-08-16 14:14:36.000000000 +0200 | Sauvegarde 021.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 642975| 2011-08-16 14:14:38.000000000 +0200 | Sauvegarde 022.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 653790| 2011-08-16 14:14:38.000000000 +0200 | Sauvegarde 023.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 648649| 2011-08-16 14:14:38.000000000 +0200 | Sauvegarde 024.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 652863| 2011-08-16 14:14:38.000000000 +0200 | Sauvegarde 025.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 638862| 2011-08-16 14:14:38.000000000 +0200 | Sauvegarde 026.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 647546| 2011-08-16 14:14:38.000000000 +0200 | Sauvegarde 027.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 627035| 2011-08-16 14:14:40.000000000 +0200 | Sauvegarde 028.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 638789| 2011-08-16 14:14:40.000000000 +0200 | Sauvegarde 029.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 651932| 2015-03-29 14:29:52.865516100 +0200 | Sauvegarde 030.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 642243| 2015-03-29 14:29:56.431720100 +0200 | Sauvegarde 031.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 639308| 2011-08-16 14:14:40.000000000 +0200 | Sauvegarde 032.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 636638| 2015-03-29 14:30:01.011982000 +0200 | Sauvegarde 033.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 631223| 2011-08-16 14:14:42.000000000 +0200 | Sauvegarde 034.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 629909| 2011-08-16 14:14:42.000000000 +0200 | Sauvegarde 035.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 641831| 2011-08-16 14:14:42.000000000 +0200 | Sauvegarde 036.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 628262| 2011-08-16 14:14:42.000000000 +0200 | Sauvegarde 037.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 627527| 2011-08-16 14:14:42.000000000 +0200 | Sauvegarde 038.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 642820| 2011-08-16 14:14:42.000000000 +0200 | Sauvegarde 039.jpg 
./2011-0 | - | rw-r--r-- | TO45610 | 1049089 | 624795| 2011-08-16 14:14:44.000000000 +0200 | Sauvegarde 040.jpg 
